epoch,train_loss,train_accuracy,val_loss,val_accuracy,qwk,referable_sensitivity,referable_specificity,referable_auroc,referable_tp,referable_tn,referable_fp,referable_fn,multiclass_auc_macro,multiclass_auc_weighted,class_0_auc,class_1_auc,class_2_auc,class_3_auc,class_4_auc,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,learning_rate,class_0_precision,class_0_recall,class_0_f1,class_0_support,class_1_precision,class_1_recall,class_1_f1,class_1_support,class_2_precision,class_2_recall,class_2_f1,class_2_support,class_3_precision,class_3_recall,class_3_f1,class_3_support,class_4_precision,class_4_recall,class_4_f1,class_4_support
1,0.7967993166983409,69.95243006912266,0.749100226560293,69.86462625073572,0.8394232361827147,0.8902039788466382,0.8920353982300885,0.9591090271726654,3535,2520,305,436,0.9234639404567935,0.924061598953663,0.968271542436455,0.9058095064651247,0.8680667111411138,0.9268341311207424,0.9483378111205311,0.7078443255108249,0.6915610141137174,0.6917732550650759,0.7058300155091687,0.6986462625073573,0.6940930694721584,9.939057285945933e-05,0.7098368759268413,0.9447368421052632,0.8106124753034152,1520.0,0.7642015005359056,0.546360153256705,0.6371760500446828,1305.0,0.5672823218997362,0.6147248034310222,0.5900514579759862,1399.0,0.707874682472481,0.6541471048513302,0.6799511996746646,1278.0,0.7900262467191601,0.6978361669242659,0.7410750923266312,1294.0
2,0.6516958854541162,75.99488892652062,0.7115048270424792,72.218952324897,0.8511358800425187,0.9025434399395619,0.8976991150442478,0.9651647898592226,3584,2536,289,387,0.9384006317091526,0.938559840167492,0.9690768275408005,0.9191261772137062,0.8866297600273787,0.9510805722742074,0.9660898214896705,0.7370866424829932,0.7162893699157509,0.7106594260614146,0.7342066107915867,0.72218952324897,0.7120665683923033,9.757729755661012e-05,0.685072531586336,0.9631578947368421,0.800656275635767,1520.0,0.8142493638676844,0.4904214559386973,0.6121472979435677,1305.0,0.6653094462540716,0.583988563259471,0.622002283974115,1399.0,0.8076923076923077,0.6737089201877934,0.734641638225256,1278.0,0.7131095630145662,0.8701700154559505,0.7838496345283675,1294.0
3,0.5683171040488006,79.22317841033299,0.6006068279983157,76.85403178340201,0.8721422333800999,0.903550742885923,0.9111504424778761,0.9696534833293592,3588,2574,251,383,0.9507268663238169,0.9507324627440492,0.973191662343881,0.9294098109689768,0.9077902861608844,0.9692382477378061,0.9740043244075358,0.7791118614589888,0.764121956618925,0.7649028856248773,0.7758267661657484,0.76854031783402,0.7653061027138751,9.460482294732422e-05,0.7343829355002539,0.9513157894736842,0.8288907996560619,1520.0,0.7884615384615384,0.5969348659003831,0.6794592237243785,1305.0,0.6654929577464789,0.6754824874910651,0.6704505143667967,1399.0,0.8034638554216867,0.8348982785602503,0.8188795088257866,1278.0,0.9037580201649863,0.7619783616692427,0.8268343815513627,1294.0
4,0.488071502179519,82.29598041781486,0.5842175801372865,78.04590935844614,0.8848735189377278,0.8987660538907076,0.9320353982300885,0.9720833119764309,3569,2633,192,402,0.9557613127164061,0.9555979791461864,0.9748635828578268,0.9408289845243104,0.9085999118192765,0.9751941433952676,0.9793199409853491,0.779561054657452,0.7821413777864217,0.7737205166626493,0.7806189093768396,0.7804590935844614,0.7732775784113679,9.054634122155992e-05,0.8149752475247525,0.8664473684210526,0.8399234693877551,1520.0,0.7011980267794221,0.7624521072796935,0.7305433186490455,1305.0,0.7821782178217822,0.5082201572551823,0.6161178509532063,1399.0,0.7937632884479093,0.8763693270735524,0.8330234287839345,1278.0,0.8056904927133934,0.8972179289026275,0.8489945155393053,1294.0
5,0.4147963139802612,85.04241267299906,0.5100274684763852,81.18010594467334,0.8966533913700108,0.9048098715688744,0.935929203539823,0.9746639686398959,3593,2644,181,378,0.9632519066188271,0.9629337095321806,0.9749957603447588,0.9471673257039909,0.9223952019514721,0.9851077792922408,0.9865934658016728,0.8167698940396046,0.8101684595288233,0.8112918895062323,0.8137981079170051,0.8118010594467334,0.810518484480319,8.550178566873411e-05,0.7780244173140954,0.9223684210526316,0.8440698374473209,1520.0,0.7754098360655738,0.724904214559387,0.7493069306930693,1305.0,0.7285171102661597,0.6847748391708363,0.7059690493736183,1399.0,0.9241622574955908,0.8200312989045383,0.8689883913764511,1278.0,0.8777358490566037,0.8987635239567233,0.8881252386407026,1294.0
6,0.3494689012159405,87.49788321504995,0.4797791201904144,83.00470865214832,0.9072335273070469,0.938806346008562,0.9012389380530973,0.9762732910949516,3728,2546,279,243,0.9676178293814555,0.9673483069246266,0.9780561679502016,0.9508029509800432,0.9326388935795876,0.9884295301023651,0.98816160429508,0.8309249901238667,0.8297378626239171,0.8281362305575918,0.8289676892655484,0.8300470865214832,0.8273125906282126,7.959536998847744e-05,0.8112874779541446,0.9078947368421053,0.8568767463520646,1520.0,0.8253676470588235,0.6881226053639847,0.7505223568742164,1305.0,0.7526395173453997,0.7133666904932094,0.7324770642201834,1399.0,0.8673395818312906,0.9413145539906104,0.9028142589118199,1278.0,0.8979907264296755,0.8979907264296755,0.8979907264296755,1294.0
7,0.29276187937794856,89.64853672429453,0.5082720393918481,83.03413772807534,0.9096912105083539,0.9156383782422564,0.9401769911504425,0.9766404663901781,3636,2656,169,335,0.968024233942554,0.9677120498699896,0.9768190614899644,0.9532307481905256,0.9335106351276878,0.9881853441943595,0.9883753807102322,0.8351837159169619,0.8290193016700398,0.8302307678429429,0.8321758099274353,0.8303413772807534,0.8292808875497917,7.297252973710758e-05,0.7875908328675237,0.9269736842105263,0.8516168026594138,1520.0,0.7961730449251248,0.7333333333333333,0.7634623055444755,1305.0,0.7625189681335357,0.7183702644746247,0.7397865292602135,1399.0,0.9368600682593856,0.8591549295774648,0.8963265306122449,1278.0,0.8927756653992396,0.9072642967542504,0.8999616711383672,1294.0
8,0.24456383259575698,91.22496420709085,0.5157050818397831,83.28428487345498,0.9075816248988919,0.8997733568370687,0.9483185840707965,0.9768543176971094,3573,2679,146,398,0.9709356150207131,0.9706370945997457,0.9789929447148956,0.9572265588203894,0.938615925534041,0.9900190073630135,0.9898236386712266,0.8375048361033708,0.8322283796712939,0.8311081002876058,0.8346466537037976,0.8328428487345497,0.8297473953794081,6.579634122155991e-05,0.7713365539452496,0.9453947368421053,0.8495418267809637,1520.0,0.8023064250411862,0.746360153256705,0.7733227471218738,1305.0,0.8056537102473498,0.6518942101501072,0.7206637692611616,1399.0,0.883668903803132,0.9272300469483568,0.9049255441008018,1278.0,0.9245585874799358,0.8902627511591963,0.9070866141732283,1294.0
9,0.1970687763238149,92.97997136567268,0.5175117974582316,84.12301353737493,0.9185275555966563,0.9214303701838328,0.9426548672566372,0.9790498815527621,3659,2663,162,312,0.9732513934024766,0.9729442658453886,0.9799324647859223,0.9613588519283731,0.9429552965583426,0.9910796987636422,0.9909306549761026,0.841705178085849,0.8425165346848212,0.8405693208619249,0.8406833835784211,0.8412301353737492,0.8393760179461981,5.824350601949144e-05,0.8304562268803946,0.8861842105263158,0.8574156588160408,1520.0,0.7716186252771619,0.8,0.7855530474040632,1305.0,0.8123938879456706,0.684060042887777,0.7427240977881258,1399.0,0.876281112737921,0.9366197183098591,0.905446293494705,1278.0,0.9177760375880971,0.9057187017001546,0.91170750680669,1294.0
10,0.1607348378278291,94.2839108948997,0.550204323952236,83.91701000588581,0.9116989969445747,0.934273482749937,0.9136283185840708,0.9801230603289779,3710,2581,244,261,0.9728607853916529,0.9725936031274174,0.9801398338055146,0.9601543731260698,0.9437408837647474,0.9893279981123095,0.9909408381496232,0.8441673856370677,0.8391910442510191,0.8412098232936313,0.8419320946604427,0.8391701000588582,0.8400800078714182,5.050000000000001e-05,0.8390151515151515,0.8743421052631579,0.8563144329896907,1520.0,0.8012718600953895,0.7724137931034483,0.7865782286383145,1305.0,0.7269076305220884,0.7762687634024303,0.7507777393708953,1399.0,0.9218241042345277,0.8857589984350548,0.9034317637669593,1278.0,0.9318181818181818,0.8871715610510046,0.9089469517022961,1294.0
