epoch,backbone,target_lesion,learning_rate,threshold,calculated_pos_weight,applied_pos_weight,train_loss,train_accuracy,train_dice,train_iou,train_sensitivity,train_specificity,train_precision,train_f1,val_loss,val_accuracy,val_dice,val_iou,val_sensitivity,val_specificity,val_precision,val_f1,val_auroc,val_auprc,best_threshold,best_threshold_dice,best_threshold_sensitivity,best_threshold_precision,best_threshold_f1,val_prob_min,val_prob_max,val_prob_mean,val_predicted_positive_pixels,val_samples,val_total_pixels,val_positive_gt_pixels,val_negative_gt_pixels,val_num_predictions,val_num_targets,val_image_paths_sha256,val_sample_rows_sha256,val_auroc_check,val_auprc_check
1,mobilenet_v3_large,ALL,0.0001,0.5,511.78687649799576,50.0,1.5064718346326322,0.9284528107503326,0.03960047546006823,0.020200206623372702,0.7563937771712398,0.9287890034928202,0.02033248433983099,0.03960047546006823,1.3486288421614998,0.9706239900789462,0.1003895120493989,0.05284741934527027,0.8792424717987725,0.9707946598923938,0.05323380128643883,0.1003895120493989,0.976649928528699,0.32394289470813786,0.9,0.35323403864306313,0.5197020863034477,0.267537827354443,0.35323403864306313,0.023729028180241585,0.9994431138038635,0.2751246690750122,8735277,481,283705344,528878,283176466,283705344,283705344,f0a34c54fc042b9304bcdda4008df9d0374863a1a76cfa95343664f752a91713,804ba9f1ee5df92123c089d0f7a9dbe7079e8fcdb2f1ae0383e6c55bd088b424,0.976649928528699,0.32394289470813786
2,mobilenet_v3_large,ALL,0.0001,0.5,511.78687649799576,50.0,1.2757864244989066,0.9844609452766123,0.1634409237114369,0.08899301188923846,0.7783872168624599,0.9848636006354684,0.0913064422945974,0.1634409237114369,1.1867966443733962,0.9863832314699014,0.1929449034454458,0.10677311600145827,0.8731446571799002,0.9865947228820915,0.10845554301400259,0.1929449034454458,0.9878032778884067,0.4755107980047732,0.9,0.4877881352626815,0.5320584331357981,0.45031902278367664,0.4877881352626815,0.0018146277870982885,0.9993141889572144,0.15484687685966492,4257846,481,283705344,528878,283176466,283705344,283705344,f0a34c54fc042b9304bcdda4008df9d0374863a1a76cfa95343664f752a91713,804ba9f1ee5df92123c089d0f7a9dbe7079e8fcdb2f1ae0383e6c55bd088b424,0.9878032778884067,0.4755107980047732
3,mobilenet_v3_large,ALL,0.0001,0.5,511.78687649799576,50.0,1.1610929700857373,0.9881844413726123,0.2037415410013406,0.11342551512042326,0.7751516812255971,0.9886006942503819,0.11728432777979544,0.2037415410013406,1.1085586086875931,0.988662081740695,0.22318457259825855,0.12560931718418497,0.873698660182483,0.9888767945850415,0.12793231282064024,0.22318457259825855,0.9898574416197025,0.48908107728681194,0.9,0.4336448099992309,0.6153252735035185,0.33479384015217184,0.4336448099992309,4.3616168113658205e-05,0.9995902180671692,0.09069086611270905,3611910,481,283705344,528878,283176466,283705344,283705344,f0a34c54fc042b9304bcdda4008df9d0374863a1a76cfa95343664f752a91713,804ba9f1ee5df92123c089d0f7a9dbe7079e8fcdb2f1ae0383e6c55bd088b424,0.9898574416197025,0.48908107728681194
4,mobilenet_v3_large,ALL,0.0001,0.5,511.78687649799576,50.0,1.0931113568410284,0.9904400447733178,0.24954213386146468,0.14255820644912073,0.8150426492181767,0.990782760469264,0.14732424678415187,0.24954213386146468,1.060057570929339,0.9896206114467834,0.24181992795882418,0.13753990948042144,0.8879193311122624,0.9898105550904078,0.13996999116545594,0.24181992795882418,0.990089650448723,0.5161605686300463,0.9,0.4468040845382021,0.7025684562413127,0.32755890935056176,0.4468040845382021,3.6474289117904846e-06,0.9999157190322876,0.0564066506922245,3355012,481,283705344,528878,283176466,283705344,283705344,f0a34c54fc042b9304bcdda4008df9d0374863a1a76cfa95343664f752a91713,804ba9f1ee5df92123c089d0f7a9dbe7079e8fcdb2f1ae0383e6c55bd088b424,0.990089650448723,0.5161605686300463
5,mobilenet_v3_large,ALL,0.0001,0.5,511.78687649799576,50.0,1.0460515187279804,0.9928212060088435,0.3137005463628686,0.18602896756341633,0.8413176864230055,0.9931172345444372,0.19279355948132942,0.3137005463628686,1.0245306345628353,0.9890629836003371,0.2323356724463303,0.1314365339758072,0.8878210097602681,0.9892520694145537,0.13365621913347395,0.2323356724463303,0.9924992456681321,0.4241996942198114,0.9,0.39539333266783366,0.6290940443731705,0.28829520464025454,0.39539333266783366,0.00013658353418577462,0.9999361038208008,0.03392716869711876,3513110,481,283705344,528878,283176466,283705344,283705344,f0a34c54fc042b9304bcdda4008df9d0374863a1a76cfa95343664f752a91713,804ba9f1ee5df92123c089d0f7a9dbe7079e8fcdb2f1ae0383e6c55bd088b424,0.9924992456681321,0.4241996942198114
6,mobilenet_v3_large,ALL,0.0001,0.5,511.78687649799576,50.0,1.0107898200466696,0.9936278493549546,0.33960564408681526,0.2045331236385941,0.840164809955657,0.9939277066714404,0.21281390992400395,0.33960564408681526,0.9897061306324917,0.9921868161919432,0.29388855334948927,0.17225636339669376,0.8722068227454938,0.9924108982983071,0.17671641996884638,0.29388855334948927,0.9933131582275506,0.46669611890915436,0.9,0.43346891273097427,0.6887467431052021,0.31625268056363187,0.43346891273097427,5.078803951619193e-06,0.999922513961792,0.020162371918559074,2610346,481,283705344,528878,283176466,283705344,283705344,f0a34c54fc042b9304bcdda4008df9d0374863a1a76cfa95343664f752a91713,804ba9f1ee5df92123c089d0f7a9dbe7079e8fcdb2f1ae0383e6c55bd088b424,0.9933131582275506,0.46669611890915436
7,mobilenet_v3_large,ALL,0.0001,0.5,511.78687649799576,50.0,0.9667055896676965,0.9952103635846082,0.40802473876592693,0.2563009292302902,0.846432618021105,0.995501066125833,0.2688002507573168,0.40802473876592693,0.9525760855843273,0.993938041575981,0.33955322752216643,0.20449509924094805,0.8359205714739347,0.994233164842166,0.21304668811429725,0.33955322752216643,0.9898735333301494,0.4061540878654382,0.9,0.43256275392514515,0.6669439833004839,0.3200788373308525,0.43256275392514515,1.621222978087644e-08,0.9999896287918091,0.012196999043226242,2075132,481,283705344,528878,283176466,283705344,283705344,f0a34c54fc042b9304bcdda4008df9d0374863a1a76cfa95343664f752a91713,804ba9f1ee5df92123c089d0f7a9dbe7079e8fcdb2f1ae0383e6c55bd088b424,0.9898735333301494,0.4061540878654382
8,mobilenet_v3_large,ALL,0.0001,0.5,511.78687649799576,50.0,0.9337818976385474,0.9953013784249156,0.3987514253911548,0.24902531169375886,0.7989609689570624,0.9956850154787052,0.26567266445973736,0.3987514253911548,0.9185272867862995,0.9923380258921031,0.29431833122588447,0.17255173495381057,0.8570993688525358,0.9925906060286803,0.1776628896238902,0.29431833122588447,0.9896260034467811,0.3605218628443713,0.9,0.4009946947168878,0.7232159401600988,0.2774014155346165,0.4009946947168878,9.218049656922744e-10,0.9999752044677734,0.011445239186286926,2551467,481,283705344,528878,283176466,283705344,283705344,f0a34c54fc042b9304bcdda4008df9d0374863a1a76cfa95343664f752a91713,804ba9f1ee5df92123c089d0f7a9dbe7079e8fcdb2f1ae0383e6c55bd088b424,0.9896260034467811,0.3605218628443713
9,mobilenet_v3_large,ALL,0.0001,0.5,511.78687649799576,50.0,0.8708078745055409,0.9970579391786233,0.5212174506562425,0.3524638905750844,0.8211815586637413,0.9974015907816467,0.38176498492246597,0.5212174506562425,0.8794442449934518,0.9942786943061601,0.34630061074205126,0.20940965026143227,0.8129285014691325,0.9946173952181464,0.22001190276982355,0.34630061074205126,0.9878294460272167,0.4796069460822741,0.9,0.41939082237241954,0.6845775396216011,0.30229136887665564,0.41939082237241954,2.206650834279955e-10,0.9999994039535522,0.008009765297174454,1954167,481,283705344,528878,283176466,283705344,283705344,f0a34c54fc042b9304bcdda4008df9d0374863a1a76cfa95343664f752a91713,804ba9f1ee5df92123c089d0f7a9dbe7079e8fcdb2f1ae0383e6c55bd088b424,0.9878294460272167,0.4796069460822741
10,mobilenet_v3_large,ALL,0.0001,0.5,511.78687649799576,50.0,0.8237609827747118,0.9975105401221442,0.5643716115934442,0.3931181746969047,0.8269152937761761,0.9978438727146353,0.4283663059354409,0.5643716115934442,0.8426904342526458,0.9958628696116489,0.4234860027643746,0.2686217842067662,0.815099134393928,0.9962004752188693,0.28605251143976285,0.4234860027643746,0.985598921286785,0.543426960766869,0.9,0.4960495238221047,0.7098310007222703,0.38123275554792413,0.4960495238221047,4.392436255263964e-17,1.0,0.006360720377415419,1507024,481,283705344,528878,283176466,283705344,283705344,f0a34c54fc042b9304bcdda4008df9d0374863a1a76cfa95343664f752a91713,804ba9f1ee5df92123c089d0f7a9dbe7079e8fcdb2f1ae0383e6c55bd088b424,0.985598921286785,0.543426960766869
